"Survey_index","Net_name","Mesh_size","Length_FL","Maximal_girth","Catch_method"
5,"Net_30",30,26,114,"Wedged"
5,"Net_30",30,26,143,"Wedged"
5,"Net_30",30,28,141,"Wedged"
5,"Net_30",30,28,166,"Wedged"
5,"Net_30",30,28,178,"Wedged"
5,"Net_30",30,30,142,"Wedged"
5,"Net_20",20,14,73,"Tangled"
5,"Net_20",20,16,80,"Tangled"
5,"Net_20",20,16,94,"Tangled"
5,"Net_20",20,18,105,"Tangled"
5,"Net_20",20,22,120,"Tangled"
5,"Net_20",20,22,122,"Tangled"
5,"Net_20",20,24,121,"Tangled"
5,"Net_20",20,24,116,"Tangled"
5,"Net_20",20,24,120,"Tangled"
5,"Net_20",20,24,120,"Tangled"
5,"Net_20",20,26,134,"Tangled"
5,"Net_20",20,26,138,"Tangled"
5,"Net_20",20,26,132,"Tangled"
5,"Net_20",20,26,132,"Tangled"
5,"Net_20",20,28,199,"Tangled"
5,"Net_20",20,28,115,"Tangled"
5,"Net_20",20,28,141,"Tangled"
5,"Net_20",20,28,104,"Tangled"
5,"Net_20",20,30,140,"Tangled"
5,"Net_20",20,30,142,"Tangled"
5,"Net_20",20,34,178,"Tangled"
5,"Net_25",25,16,95,"Tangled"
5,"Net_25",25,16,109,"Tangled"
5,"Net_25",25,16,94,"Tangled"
5,"Net_25",25,22,102,"Tangled"
5,"Net_25",25,22,114,"Tangled"
5,"Net_25",25,24,125,"Tangled"
5,"Net_25",25,26,138,"Tangled"
5,"Net_25",25,26,133,"Tangled"
5,"Net_25",25,36,191,"Tangled"
5,"Net_25",25,38,210,"Tangled"
5,"Net_30",30,22,114,"Tangled"
5,"Net_30",30,26,114,"Tangled"
5,"Net_30",30,26,113,"Tangled"
5,"Net_30",30,28,151,"Tangled"
5,"Net_30",30,36,210,"Tangled"
5,"Net_30",30,40,151,"Tangled"
6,"Net_20",20,16,75,"Wedged"
6,"Net_20",20,16,95,"Wedged"
6,"Net_20",20,16,94,"Wedged"
6,"Net_20",20,18,94,"Wedged"
6,"Net_20",20,20,119,"Wedged"
6,"Net_20",20,22,135,"Wedged"
6,"Net_20",20,22,125,"Wedged"
6,"Net_20",20,24,113,"Wedged"
6,"Net_20",20,26,114,"Wedged"
6,"Net_25",25,20,110,"Wedged"
6,"Net_25",25,20,112,"Wedged"
6,"Net_25",25,22,120,"Wedged"
6,"Net_25",25,22,122,"Wedged"
6,"Net_25",25,22,136,"Wedged"
6,"Net_25",25,22,120,"Wedged"
6,"Net_25",25,22,124,"Wedged"
6,"Net_25",25,22,128,"Wedged"
6,"Net_25",25,22,120,"Wedged"
6,"Net_25",25,22,106,"Wedged"
6,"Net_25",25,22,126,"Wedged"
6,"Net_25",25,24,113,"Wedged"
6,"Net_25",25,24,109,"Wedged"
6,"Net_25",25,24,109,"Wedged"
6,"Net_25",25,24,142,"Wedged"
6,"Net_25",25,24,119,"Wedged"
6,"Net_25",25,24,113,"Wedged"
6,"Net_25",25,26,114,"Wedged"
6,"Net_25",25,26,139,"Wedged"
6,"Net_25",25,26,163,"Wedged"
6,"Net_25",25,28,104,"Wedged"
6,"Net_30",30,22,114,"Wedged"
6,"Net_30",30,24,116,"Wedged"
6,"Net_30",30,24,128,"Wedged"
6,"Net_30",30,26,136,"Wedged"
6,"Net_30",30,26,143,"Wedged"
6,"Net_30",30,26,141,"Wedged"
6,"Net_30",30,26,170,"Wedged"
6,"Net_30",30,26,121,"Wedged"
6,"Net_30",30,28,199,"Wedged"
6,"Net_30",30,28,118,"Wedged"
6,"Net_30",30,30,230,"Wedged"
6,"Net_20",20,16,82,"Tangled"
6,"Net_20",20,18,116,"Tangled"
6,"Net_20",20,22,124,"Tangled"
6,"Net_20",20,22,106,"Tangled"
6,"Net_20",20,24,125,"Tangled"
6,"Net_20",20,24,125,"Tangled"
6,"Net_20",20,24,120,"Tangled"
6,"Net_20",20,28,141,"Tangled"
6,"Net_20",20,30,163,"Tangled"
6,"Net_20",20,32,172,"Tangled"
6,"Net_25",25,22,130,"Tangled"
6,"Net_25",25,22,129,"Tangled"
6,"Net_25",25,22,123,"Tangled"
6,"Net_25",25,22,128,"Tangled"
6,"Net_25",25,22,102,"Tangled"
6,"Net_25",25,24,132,"Tangled"
6,"Net_25",25,24,124,"Tangled"
6,"Net_25",25,24,109,"Tangled"
6,"Net_25",25,24,122,"Tangled"
6,"Net_25",25,24,135,"Tangled"
6,"Net_25",25,24,136,"Tangled"
6,"Net_25",25,26,115,"Tangled"
6,"Net_25",25,30,185,"Tangled"
6,"Net_25",25,36,191,"Tangled"
6,"Net_25",25,36,146,"Tangled"
6,"Net_30",30,26,152,"Tangled"
6,"Net_30",30,32,204,"Tangled"
7,"Net_20",20,16,95,"Wedged"
7,"Net_20",20,18,104,"Wedged"
7,"Net_20",20,18,90,"Wedged"
7,"Net_20",20,22,114,"Wedged"
7,"Net_20",20,24,108,"Wedged"
7,"Net_20",20,24,135,"Wedged"
7,"Net_20",20,24,132,"Wedged"
7,"Net_20",20,26,133,"Wedged"
7,"Net_20",20,28,152,"Wedged"
7,"Net_20",20,30,148,"Wedged"
7,"Net_25",25,18,94,"Wedged"
7,"Net_25",25,22,114,"Wedged"
7,"Net_25",25,22,115,"Wedged"
7,"Net_25",25,24,125,"Wedged"
7,"Net_25",25,24,116,"Wedged"
7,"Net_25",25,24,119,"Wedged"
7,"Net_25",25,24,128,"Wedged"
7,"Net_25",25,24,114,"Wedged"
7,"Net_25",25,26,114,"Wedged"
7,"Net_25",25,26,113,"Wedged"
7,"Net_25",25,26,113,"Wedged"
7,"Net_25",25,28,178,"Wedged"
7,"Net_30",30,24,122,"Wedged"
7,"Net_30",30,24,132,"Wedged"
7,"Net_30",30,26,114,"Wedged"
